season,raceId,raceName,date,time,circuitId
2013,7,Canadian Grand Prix,09-06-2013,18:00:00,villeneuve
2013,8,British Grand Prix,30-06-2013,12:00:00,silverstone
2013,9,German Grand Prix,07-07-2013,12:00:00,nurburgring
2013,10,Hungarian Grand Prix,28-07-2013,12:00:00,hungaroring
2013,11,Belgian Grand Prix,25-08-2013,12:00:00,spa
2013,12,Italian Grand Prix,08-09-2013,12:00:00,monza
2013,13,Singapore Grand Prix,22-09-2013,12:00:00,marina_bay
2013,14,Korean Grand Prix,06-10-2013,06:00:00,yeongam
2013,15,Japanese Grand Prix,13-10-2013,06:00:00,suzuka
2013,16,Indian Grand Prix,27-10-2013,09:30:00,buddh
2013,17,Abu Dhabi Grand Prix,03-11-2013,13:00:00,yas_marina
2013,18,United States Grand Prix,17-11-2013,19:00:00,americas
2013,19,Brazilian Grand Prix,24-11-2013,16:00:00,interlagos
2014,1,Australian Grand Prix,16-03-2014,06:00:00,albert_park
2014,2,Malaysian Grand Prix,30-03-2014,08:00:00,sepang
2014,3,Bahrain Grand Prix,06-04-2014,15:00:00,bahrain
2014,4,Chinese Grand Prix,20-04-2014,07:00:00,shanghai
2014,5,Spanish Grand Prix,11-05-2014,12:00:00,catalunya
2014,6,Monaco Grand Prix,25-05-2014,12:00:00,monaco
2014,7,Canadian Grand Prix,08-06-2014,18:00:00,villeneuve
2014,8,Austrian Grand Prix,22-06-2014,12:00:00,red_bull_ring
2014,9,British Grand Prix,06-07-2014,12:00:00,silverstone
2014,10,German Grand Prix,20-07-2014,12:00:00,hockenheimring
2014,11,Hungarian Grand Prix,27-07-2014,12:00:00,hungaroring
2014,12,Belgian Grand Prix,24-08-2014,12:00:00,spa
2014,13,Italian Grand Prix,07-09-2014,12:00:00,monza
2014,14,Singapore Grand Prix,21-09-2014,12:00:00,marina_bay
2014,15,Japanese Grand Prix,05-10-2014,06:00:00,suzuka
2014,16,Russian Grand Prix,12-10-2014,11:00:00,sochi
2014,17,United States Grand Prix,02-11-2014,20:00:00,americas
2014,18,Brazilian Grand Prix,09-11-2014,16:00:00,interlagos
2014,19,Abu Dhabi Grand Prix,23-11-2014,13:00:00,yas_marina
2015,1,Australian Grand Prix,15-03-2015,05:00:00,albert_park
2015,2,Malaysian Grand Prix,29-03-2015,07:00:00,sepang
2015,3,Chinese Grand Prix,12-04-2015,06:00:00,shanghai
2015,4,Bahrain Grand Prix,19-04-2015,15:00:00,bahrain
2015,5,Spanish Grand Prix,10-05-2015,12:00:00,catalunya
2015,6,Monaco Grand Prix,24-05-2015,12:00:00,monaco
2015,7,Canadian Grand Prix,07-06-2015,18:00:00,villeneuve
2015,8,Austrian Grand Prix,21-06-2015,12:00:00,red_bull_ring
2015,9,British Grand Prix,05-07-2015,12:00:00,silverstone
2015,10,Hungarian Grand Prix,26-07-2015,12:00:00,hungaroring
2015,11,Belgian Grand Prix,23-08-2015,12:00:00,spa
2015,12,Italian Grand Prix,06-09-2015,12:00:00,monza
2015,13,Singapore Grand Prix,20-09-2015,12:00:00,marina_bay
2015,14,Japanese Grand Prix,27-09-2015,05:00:00,suzuka
2015,15,Russian Grand Prix,11-10-2015,11:00:00,sochi
2015,16,United States Grand Prix,25-10-2015,19:00:00,americas
2015,17,Mexican Grand Prix,01-11-2015,19:00:00,rodriguez
2015,18,Brazilian Grand Prix,15-11-2015,16:00:00,interlagos
2015,19,Abu Dhabi Grand Prix,29-11-2015,13:00:00,yas_marina
2016,1,Australian Grand Prix,20-03-2016,05:00:00,albert_park
2016,2,Bahrain Grand Prix,03-04-2016,15:00:00,bahrain
2016,3,Chinese Grand Prix,17-04-2016,06:00:00,shanghai
2016,4,Russian Grand Prix,01-05-2016,12:00:00,sochi
2016,5,Spanish Grand Prix,15-05-2016,12:00:00,catalunya
2016,6,Monaco Grand Prix,29-05-2016,12:00:00,monaco
2016,7,Canadian Grand Prix,12-06-2016,18:00:00,villeneuve
2016,8,European Grand Prix,19-06-2016,13:00:00,baku
2016,9,Austrian Grand Prix,03-07-2016,12:00:00,red_bull_ring
2016,10,British Grand Prix,10-07-2016,12:00:00,silverstone
2016,11,Hungarian Grand Prix,24-07-2016,12:00:00,hungaroring
2016,12,German Grand Prix,31-07-2016,12:00:00,hockenheimring
2016,13,Belgian Grand Prix,28-08-2016,12:00:00,spa
2016,14,Italian Grand Prix,04-09-2016,12:00:00,monza
2016,15,Singapore Grand Prix,18-09-2016,12:00:00,marina_bay
2016,16,Malaysian Grand Prix,02-10-2016,07:00:00,sepang
2016,17,Japanese Grand Prix,09-10-2016,05:00:00,suzuka
2016,18,United States Grand Prix,23-10-2016,19:00:00,americas
2016,19,Mexican Grand Prix,30-10-2016,19:00:00,rodriguez
2016,20,Brazilian Grand Prix,13-11-2016,16:00:00,interlagos
2016,21,Abu Dhabi Grand Prix,27-11-2016,13:00:00,yas_marina
2017,1,Australian Grand Prix,26-03-2017,05:00:00,albert_park
2017,2,Chinese Grand Prix,09-04-2017,06:00:00,shanghai
2017,3,Bahrain Grand Prix,16-04-2017,15:00:00,bahrain
2017,4,Russian Grand Prix,30-04-2017,12:00:00,sochi
2017,5,Spanish Grand Prix,14-05-2017,12:00:00,catalunya
2017,6,Monaco Grand Prix,28-05-2017,12:00:00,monaco
2017,7,Canadian Grand Prix,11-06-2017,18:00:00,villeneuve
2017,8,Azerbaijan Grand Prix,25-06-2017,13:00:00,baku
2017,9,Austrian Grand Prix,09-07-2017,12:00:00,red_bull_ring
